outgoing,outgoing_slot,position,outgoing_md1_points,outgoing_md2_price_m,cash_before_m,max_replacement_price_m,candidate,candidate_md1_points,candidate_md1_price_m,candidate_md2_price_m,candidate_movement_m,candidate_points_per_md2_m,cash_after_m,points_gain_vs_outgoing
Michael Olise,starter,MID,325,37.57,3.82,41.39,Alexander Prass,0,,7.19,,0.00,34.20,-325
Michael Olise,starter,MID,325,37.57,3.82,41.39,Timur Gayret,0,,2.67,,0.00,38.72,-325
Michael Olise,starter,MID,325,37.57,3.82,41.39,Mussa Kaba,0,,3.30,,0.00,38.09,-325
Michael Olise,starter,MID,325,37.57,3.82,41.39,Philipp Sander,,11.09,11.08,-0.01,,30.31,
Michael Olise,starter,MID,325,37.57,3.82,41.39,Vincenzo Grifo,,,10.92,,,30.47,
Michael Olise,starter,MID,325,37.57,3.82,41.39,Cajetan Lenz,,,10.40,,,30.99,
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Dayot Upamecano,299,17.02,17.26,+0.24,17.32,1.94,217
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Leopold Querfeld,297,9.99,10.26,+0.27,28.95,8.94,215
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Marius Wolf,262,5.18,5.45,+0.27,48.07,13.75,180
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Ozan Kabak,236,13.48,13.65,+0.17,17.29,5.55,154
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Laurin Curda,233,5.84,6.23,+0.39,37.40,12.97,151
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,David Raum,221,18.11,18.19,+0.08,12.15,1.01,139
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Waldemar Anton,204,16.59,16.66,+0.07,12.24,2.54,122
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Josip Juranović,202,6.00,6.37,+0.37,31.71,12.83,120
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Willi Orbán,202,16.24,16.31,+0.07,12.39,2.89,120
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Daniel Svensson,195,9.82,9.93,+0.11,19.64,9.27,113
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Chrislain Matsima,187,10.25,10.40,+0.15,17.98,8.80,105
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Joane Gadou,185,10.00,10.15,+0.15,18.23,9.05,103
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Noahkai Banks,175,8.54,8.66,+0.12,20.21,10.54,93
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Matthias Ginter,175,10.96,11.03,+0.07,15.87,8.17,93
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Jano ter Horst,174,4.64,4.92,+0.28,35.37,14.28,92
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Julian Ryerson,169,12.78,12.83,+0.05,13.17,6.37,87
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Vladimir Coufal,148,15.42,15.42,+0.00,9.60,3.78,66
Nathaniel Brown,starter,DEF,82,15.38,3.82,19.20,Gideon Mensah,132,6.14,6.26,+0.12,21.09,12.94,50
